-0.081521 -95.104381,26.357074 -74.861449,48.308518 -43.611234,54.319722 9.040407,38.365444 51.494925,13.342745 75.444542,-13.496867 94.575326,-38.453813 118.530391,-54.325035 160.911503,-48.350129 -146.589952,-26.485314 -115.352577,8.891153 -28.792745,34.526014 -6.419399,52.898907 32.001713,50.864996 86.091170,30.510772 120.721309,4.411445 141.872469,-22.233837 161.493181,-45.377539 -170.161572,-55.052293 -120.310979,-42.055671 -73.973940,-17.897407 -48.045407,17.750124 37.834017,41.982687 63.760056,55.051935 110.199441,45.320345 160.180592,22.095215 -171.470920,-4.573490 -151.853952,-30.627048 -130.696506,-50.892053 -96.093790,-52.913476 -42.169937,-34.628921 -3.796550,-9.050214 18.583292,26.357074 105.138551,48.308518 136.388766,54.319722 -170.959593,38.365444 -128.505075,13.342745 -104.555458,-13.496867 -85.424674,-38.453813 -61.469609,-54.325035 -19.088497,-48.350129 33.410048,-26.485314 64.647423,-0.081521 84.895619,34.526014 173.580601,52.898907 -147.998287,50.864996 -93.908830,30.510772 -59.278691,4.411445 -38.127531,-22.233837 -18.506819,-45.377539 9.838428,-55.052293 59.689021,-42.055671 106.026060,-17.897407 131.954593,8.891153 151.207255,41.982687 -116.239944,55.051935 -69.800559,45.320345 -19.819408,22.095215 8.529080,-4.573490 28.146048,-30.627048 49.303494,-50.892053 83.906210,-52.913476 137.830063,-34.628921 176.203450,-9.050214 -161.416708,17.750124 -142.165983
1.415086 -94.188525,27.753509 -73.675904,49.212053 -41.351777,53.919876 11.929512,37.109209 53.029531,11.864584 76.412209,-14.968073 95.556688,-39.680458 120.122317,-54.646097 163.844022,-47.403929 -144.418501,-25.080571 -114.197788,10.377282 -27.847008,35.826034 -4.990323,53.444279 34.758672,50.067209 88.522883,29.141471 121.976890,2.916187 142.792522,-23.660013 162.592442,-46.409892 -168.152976,-54.889594 -117.304619,-40.884401 -72.256463,-16.438344 -47.032148,19.204788 38.865452,43.128257 65.546496,55.134203 113.235737,44.244103 162.113586,20.656572 -170.396564,-6.066509 -150.929538,-31.976751 -129.401647,-51.627464 -93.582491,-52.303868 -39.495982,-33.314077 -2.415145,-7.562191 19.520607,27.753509 106.324096,49.212053 138.648223,53.919876 -168.070488,37.109209 -126.970469,11.864584 -103.587791,-14.968073 -84.443312,-39.680458 -59.877683,-54.646097 -16.155978,-47.403929 35.581499,-25.080571 65.802212,1.415086 85.811475,35.826034 175.009677,53.444279 -145.241328,50.067209 -91.477117,29.141471 -58.023110,2.916187 -37.207478,-23.660013 -17.407558,-46.409892 11.847024,-54.889594 62.695381,-40.884401 107.743537,-16.438344 132.967852,10.377282 152.152992,43.128257 -114.453504,55.134203 -66.764263,44.244103 -17.886414,20.656572 9.603436,-6.066509 29.070462,-31.976751 50.598353,-51.627464 86.417509,-52.303868 140.504018,-33.314077 177.584855,-7.562191 -160.479393,19.204788 -141.134548
2.911283 -93.271283,29.136958 -72.456695,50.064502 -39.006464,53.445951 14.756421,35.830262 54.509806,10.382149 77.368142,-16.433549 96.553105,-40.880512 121.775190,-54.888928 166.819057,-46.413210 -142.329490,-23.664672 -113.071839,11.859730 -26.891112,37.105052 -3.510221,53.918442 37.585364,49.214933 90.868478,27.758067 123.196213,1.419993 143.709771,-25.075946 163.718300,-47.400752 -166.064232,-54.647022 -114.329463,-39.684437 -70.603385,-14.972888 -46.035680,20.651841 39.917330,44.240513 67.404452,55.134338 116.278541,43.131959 163.971781,19.209546 -169.344616,-7.557307 -149.999417,-33.309736 -128.065059,-52.301762 -90.988406,-51.629776 -36.901630,-31.981149 -1.078415,-6.071401 20.450748,29.136958 107.543305,50.064502 140.993536,53.445951 -165.243579,35.830262 -125.490194,10.382149 -102.631858,-16.433549 -83.446895,-40.880512 -58.224810,-54.888928 -13.180943,-46.413210 37.670510,-23.664672 66.928161,2.911283 86.728717,37.105052 176.489779,53.918442 -142.414636,49.214933 -89.131522,27.758067 -56.803787,1.419993 -36.290229,-25.075946 -16.281700,-47.400752 13.935768,-54.647022 65.670537,-39.684437 109.396615,-14.972888 133.964320,11.859730 153.108888,44.240513 -112.595548,55.134338 -63.721459,43.131959 -16.028219,19.209546 10.655384,-7.557307 30.000583,-33.309736 51.934941,-52.301762 89.011594,-51.629776 143.098370,-31.981149 178.921585,-6.071401 -159.549252,20.651841 -140.082670
4.406545 -92.351242,30.506307 -71.201237,50.862473 -36.575032,52.900808 17.513619,34.530309 55.939044,8.896031 78.313909,-17.892634 97.566306,-42.051880 123.492450,-55.051891 169.825335,-45.380988 -140.320635,-22.238528 -111.972493,13.337906 -25.923485,38.361364 -1.975799,54.318535 40.474279,48.311560 93.128216,26.361673 124.381864,-0.076614 144.625629,-26.480728 164.872991,-48.347103 -163.893054,-54.326213 -111.396787,-38.457876 -69.011264,-13.501699 -45.054271,22.090513 40.991609,45.316878 69.337195,55.052339 119.314879,41.986495 165.758450,17.754905 -168.313118,-9.045340 -149.062128,-34.624641 -126.683805,-52.911586 -88.314705,-50.894560 -34.390056,-30.631499 0.216576,-4.578388 21.375179,30.506307 108.798763,50.862473 143.424968,52.900808 -162.486381,34.530309 -124.060956,8.896031 -101.686091,-17.892634 -82.433694,-42.051880 -56.507550,-55.051891 -10.174665,-45.380988 39.679365,-22.238528 68.027507,4.406545 87.648758,38.361364 178.024201,54.318535 -139.525721,48.311560 -86.871784,26.361673 -55.618136,-0.076614 -35.374371,-26.480728 -15.127009,-48.347103 16.106946,-54.326213 68.603213,-38.457876 110.988736,-13.501699 134.945729,13.337906 154.076515,45.316878 -110.662805,55.052339 -60.685121,41.986495 -14.241550,17.754905 11.686882,-9.045340 30.937872,-34.624641 53.316195,-52.911586 91.685295,-50.894560 145.609944,-30.631499 -179.783424,-4.578388 -158.624821,22.090513 -139.008391
5.900344 -91.426978,31.860368 -69.906825,51.602523 -34.058214,52.287561 20.195070,33.210932 57.320436,7.406805 79.251041,-19.344637 98.598089,-43.192316 125.277526,-55.133860 172.850738,-44.310137 -138.389231,-20.802995 -110.897617,14.811199 -24.942510,39.593140 -0.383675,54.642023 43.416469,47.360392 95.303196,24.953327 125.536308,-1.573112 145.541501,-27.873389 166.058857,-49.245792 -161.637699,-53.929266 -108.516767,-37.206671 -67.476689,-12.025412 -44.086252,23.519992 42.090337,46.354609 71.347790,54.888786 122.331959,40.810130 167.476996,16.293379 -167.300194,-10.530051 -148.116178,-35.920003 -125.254828,-53.453687 -85.565938,-50.101629 -31.963169,-29.266396 1.472645,-3.083688 22.295340,31.860368 110.093175,51.602523 145.941786,52.287561 -159.804930,33.210932 -122.679564,7.406805 -100.748959,-19.344637 -81.401911,-43.192316 -54.722474,-55.133860 -7.149262,-44.310137 41.610769,-20.802995 69.102383,5.900344 88.573022,39.593140 179.616325,54.642023 -136.583531,47.360392 -84.696804,24.953327 -54.463692,-1.573112 -34.458499,-27.873389 -13.941143,-49.245792 18.362301,-53.929266 71.483233,-37.206671 112.523311,-12.025412 135.913748,14.811199 155.057490,46.354609 -108.652210,54.888786 -57.668041,40.810130 -12.523004,16.293379 12.699806,-10.530051 31.883822,-35.920003 54.745172,-53.453687 94.434062,-50.101629 148.036831,-29.266396 -178.527355,-3.083688 -157.704660,23.519992 -137.909663
7.392143 -90.497052,33.197863 -68.570627,52.281201 -31.457883,51.609503 22.796208,31.873606 58.657059,5.915028 80.181031,-20.788831 99.650328,-44.299421 127.133778,-55.134262 175.882620,-43.203372 -136.532262,-19.358881 -109.845167,16.278972 -23.946514,40.798413 1.269596,54.886775 46.401671,46.364615 97.395206,23.534004 126.661897,-3.068980 146.458795,-29.252896 167.278354,-50.093554 -159.297109,-53.458673 -105.698283,-35.932642 -65.996305,-10.544636 -43.130005,24.939418 43.215653,47.350810 73.438996,54.644817 125.317530,39.605128 169.130886,14.825664 -166.304041,-12.010868 -147.160040,-37.194248 -123.774961,-53.924991 -82.748099,-49.254384 -29.621738,-27.887024 2.692485,-1.587830 23.212655,33.197863 111.429373,52.281201 148.542117,51.609503 -157.203792,31.873606 -121.342941,5.915028 -99.818969,-20.788831 -80.349672,-44.299421 -52.866222,-55.134262 -4.117380,-43.203372 43.467738,-19.358881 70.154833,7.392143 89.502948,40.798413 -178.730404,54.886775 -133.598329,46.364615 -82.604794,23.534004 -53.338103,-3.068980 -33.541205,-29.252896 -12.721646,-50.093554 20.702891,-53.458673 74.301717,-35.932642 114.003695,-10.544636 136.869995,16.278972 156.053486,47.350810 -106.561004,54.644817 -54.682470,39.605128 -10.869114,14.825664 13.695959,-12.010868 32.839960,-37.194248 56.225039,-53.924991 97.251901,-49.254384 150.378262,-27.887024 -177.307515,-1.587830 -156.787345,24.939418 -136.784347
8.881398 -89.559997,34.517424 -67.189690,52.895102 -28.777201,50.870040 25.313860,30.519702 59.951869,4.421246 81.105343,-22.224453 100.724975,-45.370639 129.064435,-55.053093 178.908150,-42.063251 -134.746503,-17.906952 -108.813191,17.740562 -22.933764,41.975070 2.987490,55.051126 49.418500,45.327278 99.406582,22.104620 127.760876,-4.563694 147.378921,-30.618145 168.534053,-50.887036 -156.871060,-52.917254 -102.948806,-34.637480 -64.566844,-9.059961 -42.183962,26.347877 44.369802,48.302432 75.613150,54.322093 128.260195,38.373603 170.723595,13.352423 -165.322927,-13.487202 -146.192144,-38.445686 -122.240935,-54.322676 -79.868643,-48.356180 -27.365548,-26.494487 3.878670,-0.091335 24.128535,34.517424 112.810310,52.895102 151.222799,50.870040 -154.686140,30.519702 -120.048131,4.421246 -98.894657,-22.224453 -79.275025,-45.370639 -50.935565,-55.053093 -1.091850,-42.063251 45.253497,-17.906952 71.186809,8.881398 90.440003,41.975070 -177.012510,55.051126 -130.581500,45.327278 -80.593418,22.104620 -52.239124,-4.563694 -32.621079,-30.618145 -11.465947,-50.887036 23.128940,-52.917254 77.051194,-34.637480 115.433156,-9.059961 137.816038,17.740562 157.066236,48.302432 -104.386850,54.322093 -51.739805,38.373603 -9.276405,13.352423 14.677073,-13.487202 33.807856,-38.445686 57.759065,-54.322676 100.131357,-48.356180 152.634452,-26.494487 -176.121330,-0.091335 -155.871465,26.347877 -135.630198
10.367548 -88.614322,35.817576 -65.760938,53.440931 -26.020722,50.072621 27.746137,29.150497 61.207696,2.925996 82.025419,-23.650693 101.824069,-46.403254 131.072514,-54.890922 -178.085324,-40.892177 -133.028592,-16.447933 -107.799816,19.195274 -21.902457,43.120850 4.773472,55.133931 52.454711,44.251280 101.340077,20.666034 128.835386,-6.056725 148.303303,-31.967954 169.828648,-51.622837 -154.360312,-52.308079 -100.274342,-33.322760 -63.185135,-7.571958 -41.246595,27.744394 45.555134,49.206291 77.872048,53.922743 131.149679,37.117522 172.258568,11.874291 -164.355177,-14.958444 -145.210875,-39.672499 -120.649397,-54.644244 -76.936438,-47.410282 -25.193550,-25.089820 5.033656,1.405273 25.044386,35.817576 114.239062,53.440931 153.979278,50.072621 -152.253863,29.150497 -118.792304,2.925996 -97.974581,-23.650693 -78.175931,-46.403254 -48.927486,-54.890922 1.914676,-40.892177 46.971408,-16.447933 72.200184,10.367548 91.385678,43.120850 -175.226528,55.133931 -127.545289,44.251280 -78.659923,20.666034 -51.164614,-6.056725 -31.696697,-31.967954 -10.171352,-51.622837 25.639688,-52.308079 79.725658,-33.322760 116.814865,-7.571958 138.753405,19.195274 158.097543,49.206291 -102.127952,53.922743 -48.850321,37.117522 -7.741432,11.874291 15.644823,-14.958444 34.789125,-39.672499 59.350603,-54.644244 103.063562,-47.410282 154.806450,-25.089820 -174.966344,1.405273 -154.955614,27.744394 -134.444866
11.850022 -87.658497,37.096737 -64.281181,53.915571 -23.194464,49.220692 30.092297,27.767182 62.427249,1.429806 82.942682,-25.066697 102.949745,-47.394396 133.160724,-54.648869 -175.109926,-39.692394 -131.375103,-14.982517 -106.803244,20.642379 -20.850720,44.233334 6.630947,55.134605 55.497514,43.139363 103.198752,19.219060 129.887474,-7.547540 149.233381,-33.301052 171.164953,-52.297546 -151.766760,-51.634399 -97.679456,-31.989946 -61.848122,-6.081184 -40.316412,29.127930 46.774114,50.059086 80.216796,53.449294 133.977023,35.838719 173.739188,10.391882 -163.399172,-16.423960 -144.214563,-40.872734 -118.996936,-54.887595 -73.961647,-46.419845 -23.104006,-23.673991 6.159786,2.901474 25.961614,37.096737 115.718819,53.915571 156.805536,49.220692 -149.907703,27.767182 -117.572751,1.429806 -97.057318,-25.066697 -77.050255,-47.394396 -46.839276,-54.648869 4.890074,-39.692394 48.624897,-14.982517 73.196756,11.850022 92.341503,44.233334 -173.369053,55.134605 -124.502486,43.139363 -76.801248,19.219060 -50.112526,-7.547540 -30.766619,-33.301052 -8.835047,-52.297546 28.233240,-51.634399 82.320544,-31.989946 118.151878,-6.081184 139.683588,20.642379 159.149280,50.059086 -99.783204,53.449294 -46.022977,35.838719 -6.260812,10.391882 16.600828,-16.423960 35.785437,-40.872734 61.003064,-54.887595 106.038353,-46.419845 156.895994,-23.673991 -173.840214,2.901474 -154.038386,29.127930 -133.225886
13.328229 -86.690953,38.353204 -62.747125,54.316158 -20.305930,48.317643 32.352595,26.370869 63.613113,-0.066800 83.858544,-26.471555 104.104240,-48.341049 135.331356,-54.328568 -172.176937,-38.466001 -129.782594,-13.511364 -105.821742,22.081108 -19.776593,45.309942 8.563190,55.053143 58.533936,41.994109 104.985879,17.764467 130.919100,-9.035593 150.170618,-34.616081 172.545905,-52.907805 -149.093568,-50.899573 -95.167332,-30.640401 -60.552866,-4.588184 -39.391948,30.497376 48.029326,50.857425 82.647663,52.904608 136.734699,34.538898 175.168751,8.905787 -162.453343,-17.883089 -143.201478,-42.044297 -117.280109,-55.051085 -70.955535,-45.387886 -21.094634,-22.247912 7.259299,4.396744 26.881632,38.353204 117.252875,54.316158 159.694070,48.317643 -147.647405,26.370869 -116.386887,-0.066800 -96.141456,-26.471555 -75.895760,-48.341049 -44.668644,-54.328568 7.823063,-38.466001 50.217406,-13.511364 74.178258,13.328229 93.309047,45.309942 -171.436810,55.053143 -121.466064,41.994109 -75.014121,17.764467 -49.080900,-9.035593 -29.829382,-34.616081 -7.454095,-52.907805 30.906432,-50.899573 84.832668,-30.640401 119.447134,-4.588184 140.608052,22.081108 160.223407,50.857425 -97.352337,52.904608 -43.265301,34.538898 -4.831249,8.905787 17.546657,-17.883089 36.798522,-42.044297 62.719891,-55.051085 109.044465,-45.387886 158.905366,-22.247912 -172.740701,4.396744 -153.118368,30.497376 -131.970674
14.801555 -85.710070,39.585147 -61.155391,54.640156 -17.364057,47.366778 34.528126,24.962599 64.767754,-1.563301 84.774412,-27.864299 105.289893,-49.240061 137.586154,-53.932111 -169.296541,-37.214952 -128.247652,-12.035108 -104.853640,23.510651 -18.678033,46.347936 10.573266,54.890122 61.551184,40.817939 106.704861,16.302984 131.932140,-10.520327 151.116507,-35.911575 173.974559,-53.450360 -146.345276,-50.107009 -92.739885,-29.275396 -59.296551,-3.093494 -38.471763,31.851541 49.323474,51.597867 85.163927,52.291797 139.416664,33.219644 176.550446,7.416579 -161.516160,-19.335140 -142.169821,-43.184943 -115.495489,-55.133588 -67.930216,-44.317279 -19.162731,-20.812437 8.334329,5.890554 27.805863,39.585147 118.844609,54.640156 162.635943,47.366778 -145.471874,24.962599 -115.232246,-1.563301 -95.225588,-27.864299 -74.710107,-49.240061 -42.413846,-53.932111 10.703459,-37.214952 51.752348,-12.035108 75.146360,14.801555 94.289930,46.347936 -169.426734,54.890122 -118.448816,40.817939 -73.295139,16.302984 -48.067860,-10.520327 -28.883493,-35.911575 -6.025441,-53.450360 33.654724,-50.107009 87.260115,-29.275396 120.703449,-3.093494 141.528237,23.510651 161.321967,51.597867 -94.836073,52.291797 -40.583336,33.219644 -3.449554,7.416579 18.483840,-19.335140 37.830179,-43.184943 64.504511,-55.133588 112.069784,-44.317279 160.837269,-20.812437 -171.665671,5.890554 -152.194137,31.851541 -130.676526
16.269367 -84.714178,40.790600 -59.502532,54.885431 -14.379100,46.371283 36.620673,23.543345 65.893525,-3.059174 85.691691,-29.243896 106.509162,-50.088168 139.926184,-53.461992 -166.477628,-35.941066 -126.766924,-10.554360 -103.897321,24.930145 -17.552898,47.344419 12.663934,54.646676 64.536999,39.613118 108.359163,14.835307 132.928397,-12.001172 152.072574,-37.185965 175.454082,-53.922137 -143.527867,-49.260110 -90.397894,-27.896113 -58.076482,-1.597641 -37.554435,33.189150 50.659388,52.276958 87.763719,51.614153 142.018340,31.882431 177.887353,5.924817 -160.586128,-20.779388 -141.117723,-44.292276 -113.639714,-55.134525 -64.898335,-43.210741 -17.305284,-19.368377 9.386920,7.382369 28.735748,40.790600 120.497468,54.885431 165.620900,46.371283 -143.379327,23.543345 -114.106475,-3.059174 -94.308309,-29.243896 -73.490838,-50.088168 -40.073816,-53.461992 13.522372,-35.941066 53.233076,-10.554360 76.102679,16.269367 95.285822,47.344419 -167.336066,54.646676 -115.463001,39.613118 -71.640837,14.835307 -47.071603,-12.001172 -27.927426,-37.185965 -4.545918,-53.922137 36.472133,-49.260110 89.602106,-27.896113 121.923518,-1.597641 142.445565,24.930145 162.447102,52.276958 -92.236281,51.614153 -37.981660,31.882431 -2.112647,5.924817 19.413872,-20.779388 38.882277,-44.292276 66.360286,-55.134525 115.101665,-43.210741 162.694716,-19.368377 -170.613080,7.382369 -151.264252,33.189150 -129.340612
17.730999 -83.701544,41.967453 -57.785074,55.050313 -11.362440,45.334209 38.632569,22.114024 66.992670,-4.553897 86.611794,-30.609242 107.764615,-50.882017 142.351674,-52.921028 -163.727677,-34.646038 -125.337139,-9.069708 -102.951216,26.338679 -16.398945,48.296344 14.837538,54.324462 67.479981,38.381760 109.952262,13.362100 133.909605,-13.477537 153.040387,-38.437558 176.987742,-54.320314 -140.648788,-48.362229 -88.141148,-26.503659 -56.890085,-0.101149 -36.638550,34.508832 52.040022,52.891295 90.443887,50.875081 144.536547,30.528631 179.182428,4.431047 -159.661783,-22.215069 -140.043230,-45.363737 -111.709555,-55.053890 -61.872722,-42.070831 -15.519069,-17.916497 10.419024,8.871641 29.672751,41.967453 122.214926,55.050313 168.637560,45.334209 -141.367431,22.114024 -113.007330,-4.553897 -93.388206,-30.609242 -72.235385,-50.882017 -37.648326,-52.921028 16.272323,-34.646038 54.662861,-9.069708 77.048784,17.730999 96.298456,48.296344 -165.162462,54.324462 -112.520019,38.381760 -70.047738,13.362100 -46.090395,-13.477537 -26.959613,-38.437558 -3.012258,-54.320314 39.351212,-48.362229 91.858852,-26.503659 123.109915,-0.101149 143.361450,26.338679 163.601055,52.891295 -89.556113,50.875081 -35.463453,30.528631 -0.817572,4.431047 20.338217,-22.215069 39.956770,-45.363737 68.290445,-55.053890 118.127278,-42.070831 164.480931,-17.916497 -169.580976,8.871641 -150.327249,34.508832 -127.959978
19.185759 -82.670365,43.113443 -55.999549,55.133655 -8.326315,44.258455 40.566565,20.675495 68.067334,-6.046942 87.536144,-31.959155 109.058946,-51.618207 144.861871,-52.312288 -161.052705,-33.331441 -123.955127,-7.581725 -102.013797,27.735277 -15.213826,49.200527 17.095876,53.925606 70.369845,37.125835 111.487603,11.883999 134.877437,-14.948815 154.021563,-39.664538 178.578891,-54.642388 -137.716897,-47.416633 -85.968602,-25.099068 -55.734902,1.395460 -35.722703,35.809117 53.468450,53.437581 93.199887,50.078032 146.969387,29.159523 -179.561498,2.935804 -158.741685,-23.641373 -138.944303,-46.396615 -109.701992,-54.892248 -58.866031,-40.899952 -13.800724,-16.457522 11.432515,10.357814 30.618365,43.113443 124.000451,55.133655 171.673685,44.258455 -139.433435,20.675495 -111.932666,-6.046942 -92.463856,-31.959155 -70.941054,-51.618207 -35.138129,-52.312288 18.947295,-33.331441 56.044873,-7.581725 77.986203,19.185759 97.329635,49.200527 -162.904124,53.925606 -109.630155,37.125835 -68.512397,11.883999 -45.122563,-14.948815 -25.978437,-39.664538 -1.421109,-54.642388 42.283103,-47.416633 94.031398,-25.099068 124.265098,1.395460 144.277297,27.735277 164.786174,53.437581 -86.800113,50.078032 -33.030613,29.159523 0.438502,2.935804 21.258315,-23.641373 41.055697,-46.396615 70.298008,-54.892248 121.133969,-40.899952 166.199276,-16.457522 -168.567485,10.357814 -149.381635,35.809117 -126.531550
20.632916 -81.618767,44.226153 -54.142553,55.134868 -5.283513,43.146766 42.425720,19.228574 69.119564,-7.537772 88.466180,-33.292368 110.394968,-52.293328 147.454889,-51.639020 -158.457285,-31.998742 -122.617831,-6.090968 -101.083571,29.118903 -13.995075,50.053667 19.440059,53.452634 73.197622,35.847175 112.968569,10.401616 135.833513,-16.414370 155.017771,-40.864954 -179.769058,-54.886257 -134.742349,-46.426478 -83.878524,-23.683310 -54.608590,2.891665 -34.805489,37.088421 54.947862,53.912697 96.025711,49.226449 149.316112,27.776297 -178.341716,1.439619 -157.824408,-25.057447 -137.818808,-47.388039 -107.614316,-54.650714 -55.890391,-39.700351 -12.146824,-14.992145 12.429192,11.840315 31.574118,44.226153 125.857447,55.134868 174.716487,43.146766 -137.574280,19.228574 -110.880436,-7.537772 -91.533820,-33.292368 -69.605032,-52.293328 -32.545111,-51.639020 21.542715,-31.998742 57.382169,-6.090968 78.916429,20.632916 98.381233,50.053667 -160.559941,53.452634 -106.802378,35.847175 -67.031431,10.401616 -44.166487,-16.414370 -24.982229,-40.864954 0.230942,-54.886257 45.257651,-46.426478 96.121476,-23.683310 125.391410,2.891665 145.194511,29.118903 166.004925,53.912697 -83.974289,49.226449 -30.683888,27.776297 1.658284,1.439619 22.175592,-25.057447 42.181192,-47.388039 72.385684,-54.650714 124.109609,-39.700351 167.853176,-14.992145 -167.570808,11.840315 -148.425882,37.088421 -125.052138
22.071703 -80.544795,45.303005 -52.210811,55.053944 -2.247006,42.001722 44.213305,17.774028 70.151317,-9.025845 89.403365,-34.607519 111.775617,-52.904020 150.127572,-50.904583 -155.944611,-30.649302 -121.322311,-4.597981 -100.159075,30.488445 -12.740109,50.852375 21.870363,52.908405 75.955776,34.547487 114.398455,8.915543 136.779404,-17.873543 156.030740,-42.036713 -178.052664,-55.050276 -131.736404,-45.394782 -81.868635,-22.257295 -53.508910,4.386943 -33.885493,38.345043 56.481550,54.313778 98.913864,48.323724 151.576970,26.380066 -177.155640,-0.056986 -156.908541,-26.462381 -136.664510,-48.334993 -105.444231,-54.330918 -52.957090,-38.474125 -10.553926,-13.521028 13.410787,13.318551 32.541581,45.303005 127.789189,55.053944 177.752994,42.001722 -135.786695,17.774028 -109.848683,-9.025845 -90.596635,-34.607519 -68.224383,-52.904020 -29.872428,-50.904583 24.055389,-30.649302 58.677689,-4.597981 79.840925,22.071703 99.455205,50.852375 -158.129637,52.908405 -104.044224,34.547487 -65.601545,8.915543 -43.220596,-17.873543 -23.969260,-42.036713 1.947336,-55.050276 48.263596,-45.394782 98.131365,-22.257295 126.491090,4.386943 146.114507,30.488445 167.259891,54.313778 -81.086136,48.323724 -28.423030,26.380066 2.844360,-0.056986 23.091459,-26.462381 43.335490,-48.334993 74.555769,-54.330918 127.042910,-38.474125 169.446074,-13.521028 -166.589213,13.318551 -147.458419,38.345043 -123.518450
23.501308 -79.446401,46.341262 -50.201255,54.891454 0.770408,40.825747 45.932723,16.312589 71.164473,-10.510603 90.349192,-35.903147 113.203948,-53.447029 152.875389,-50.112387 -153.516605,-29.284394 -120.065749,-3.103300 -99.238867,31.842714 -11.446226,51.593207 24.386072,52.296030 78.638254,33.228355 115.780455,7.426354 137.716639,-19.325643 157.062269,-43.177570 -176.268500,-55.133312 -128.711170,-44.324419 -79.936233,-20.821879 -52.433725,5.880765 -32.961295,39.577153 58.072896,54.638286 101.855420,47.373162 153.753052,24.971870 -176.000802,-1.553489 -155.992678,-27.855207 -135.479069,-49.234328 -103.189989,-53.934954 -50.076319,-37.223232 -9.018618,-12.044804 14.378972,14.791912 33.522370,46.341262 129.798745,54.891454 -179.229592,40.825747 -134.067277,16.312589 -108.835527,-10.510603 -89.650808,-35.903147 -66.796052,-53.447029 -27.124611,-50.112387 26.483395,-29.284394 59.934251,-3.103300 80.761133,23.501308 100.553599,51.593207 -155.613928,52.296030 -101.361746,33.228355 -64.219545,7.426354 -42.283361,-19.325643 -22.937731,-43.177570 3.731500,-55.133312 51.288830,-44.324419 100.063767,-20.821879 127.566275,5.880765 147.038705,31.842714 168.553774,54.638286 -78.144580,47.373162 -26.246948,24.971870 3.999198,-1.553489 24.007322,-27.855207 44.520931,-49.234328 76.810011,-53.934954 129.923681,-37.223232 170.981382,-12.044804 -165.621028,14.791912 -146.477630,39.577153 -121.927104
24.920872 -78.321448,47.338027 -48.111123,54.648531 3.756467,39.621107 47.587438,14.844950 72.160834,-11.991475 91.305187,-37.177680 114.683126,-53.919281 155.692368,-49.265833 -151.174053,-27.905201 -118.845451,-1.607453 -98.321524,33.180435 -10.110595,52.272712 26.985325,51.618801 81.240469,31.891255 117.117646,5.934606 138.646713,-20.769945 158.114227,-44.285128 -174.413202,-55.134785 -125.679290,-43.218108 -78.078309,-19.377873 -51.380994,7.372594 -32.031451,40.782787 59.725342,54.884083 104.840129,46.377950 155.846137,23.552685 -174.874849,-3.049368 -155.075412,-29.234894 -134.260029,-50.082780 -100.850520,-53.465309 -47.256976,-35.949490 -7.537545,-10.564083 15.335362,16.259761 34.518158,47.338027 131.888877,54.648531 -176.243533,39.621107 -132.412562,14.844950 -107.839166,-11.991475 -88.694813,-37.177680 -65.316874,-53.919281 -24.307632,-49.265833 28.825947,-27.905201 61.154549,-1.607453 81.678476,24.920872 101.678552,52.272712 -153.014675,51.618801 -98.759531,31.891255 -62.882354,5.934606 -41.353287,-20.769945 -21.885773,-44.285128 5.586798,-55.134785 54.320710,-43.218108 101.921691,-19.377873 128.619006,7.372594 147.968549,33.180435 169.889405,54.884083 -75.159871,46.377950 -24.153863,23.552685 5.125151,-3.049368 24.924588,-29.234894 45.739971,-50.082780 79.149480,-53.465309 132.743024,-35.949490 172.462455,-10.564083 -164.664638,16.259761 -145.481842,40.782787 -120.274658
26.329480 -77.167692,48.290254 -45.938070,54.326827 6.699764,38.389917 49.180927,13.371777 73.142135,-13.467872 92.272919,-38.429429 116.216421,-54.317948 158.571070,-48.368275 -148.916751,-26.512830 -117.658841,-0.110963 -97.405635,34.500240 -8.730264,52.887485 29.664979,50.880120 83.759230,30.537560 118.412985,4.440847 139.571090,-22.205684 159.188566,-45.356834 -172.483541,-55.054684 -122.653595,-42.078409 -76.291637,-17.926041 -50.348762,8.861885 -31.094500,41.959834 61.442366,55.049496 107.856621,45.341138 157.858553,22.123427 -173.775536,-4.544101 -154.155332,-30.600338 -133.004822,-50.876996 -98.425589,-52.924800 -44.506552,-34.654595 -6.107436,-9.079455 16.281529,17.721436 35.530677,48.290254 134.061930,54.326827 -173.300236,38.389917 -130.819073,13.371777 -106.857865,-13.467872 -87.727081,-38.429429 -63.783579,-54.317948 -21.428930,-48.368275 31.083249,-26.512830 62.341159,-0.110963 82.594365,26.329480 102.832308,52.887485 -150.335021,50.880120 -96.240770,30.537560 -61.587015,4.440847 -40.428910,-22.205684 -20.811434,-45.356834 7.516459,-55.054684 57.346405,-42.078409 103.708363,-17.926041 129.651238,8.861885 148.905500,34.500240 171.269736,55.049496 -72.143379,45.341138 -22.141447,22.123427 6.224464,-4.544101 25.844668,-30.600338 46.995178,-50.876996 81.574411,-52.924800 135.493448,-34.654595 173.892564,-9.079455 -163.718471,17.721436 -144.469323,41.959834 -118.557634
